News_ID,News
0,"""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024"""
1,"هل قال ترامب حقًا ""هذا البلد مثير للشفقة للغاية""؟"
2,"""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران"""
3,"""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024"""
4,"أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا ""لا أحد من هؤلاء المرشحين"" بدلاً من نيكي هايلي (الجمهورية)"
5,"""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024"""
6,"""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'"""
7,هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟
8,"""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟"""
9,هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟
10,"""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024؟"""
11,"""هل كان عم دونالد ترامب أستاذًا في معهد ماساتشوستس للتكنولوجيا؟"""
12,"""هل قال ترامب إنه سيحصل على محامٍ 'أكثر خبرة' بعد قضية إي. جين كارول؟"""
13,"هل قال بايدن ذات مرة إنه لا يريد أن يكبر أطفاله في ""غابة عرقية""؟"
14,"""هل قال بايدن في عام 2020 إنه سيستخدم القوة العسكرية 'بمسؤولية' و'كملاذ أخير'؟"""
15,"""هل ارتدى بايدن خوذة السلامة بشكل مقلوب في جلسة تصوير مع عمال البناء؟"""
16,"""هل أيد إيلون ماسك بايدن، وأعلن عن كونه متحولًا جنسيًا وانتحر؟"""
17,"""رسائل البريد الإلكتروني للبيت الأبيض تثبت أن بايدن 'أخفى مخاطر لقاح كوفيد القاتلة عن الجمهور'؟"""
18,"""موظف يخبر بايدن الضائع والمربك بأنه يسير في الاتجاه الخاطئ في مبنى الكابيتول؟"""
19,"""بايدن يقول إنه وقف في موقع جراوند زيرو في اليوم التالي لأحداث 11 سبتمبر"""
20,"""استراتيجية بايدن هي ""إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"" و""تسوية أوضاعهم لخلق أغلبية دائمة""."""
21,"""الديمقراطيون ""استخدموا كوفيد للغش"" في انتخابات 2020."""
22,"""حصل النائب دين فيليبس على ما يقرب من ضعف عدد الأصوات التي حصل عليها بايدن في الانتخابات التمهيدية في نيو هامبشاير."""
23,"""للمهاجرين غير الشرعيين الآن الحق في التصويت في نيويورك."""
24,"نيكي هايلي ""عارضت جدار ترامب الحدودي"" و""حظر السفر الذي فرضه ترامب""."
25,"""نيكي هايلي غير مؤهلة لتكون رئيسة أو نائبة رئيس."""
26,"صرحت ميليسا أغارد في ظهور علني بتاريخ 17 أكتوبر 2023: ""منذ عام 1981، رفض مجلس شيوخ الولاية خمسة تعيينات تنفيذية فقط. اليوم، الحزب الجمهوري يضاعف هذا العدد بأكثر من الضعف."""
27,"""صرح بول رايان في مقابلة تلفزيونية بتاريخ 23 فبراير 2023: ""ناخبو الضواحي المتأرجحون في مقاطعة WOW (في ويسكونسن) لا يصوتون لدونالد ترامب."""""
28,"صرح رون ديسانتيس في اجتماع بلدي في 2 يناير 2024: ""صدق أو لا تصدق، دونالد ترامب قام بترحيل عدد أقل مما فعله باراك أوباما حتى."""
29,"صرحت نيكي هايلي في 14 ديسمبر 2023 في اجتماع بلدية في أتكينسون، نيو هامبشاير: ""لقد مات عدد أكبر من الأمريكيين بسبب الفنتانيل مقارنة بحروب العراق وأفغانستان وفيتنام مجتمعة."""
30,"صرح كريس لارسون في 10 سبتمبر 2021 على تويتر: ""رفضت الهيئة التشريعية التي يسيطر عليها الحزب الجمهوري اتخاذ إجراء بشأن ما لا يقل عن 150"" من المعينين من قبل الحاكم توني إيفرز."
31,"""جو بايدن أو دونالد ترامب انسحب من السباق الرئاسي لعام 2024 اعتبارًا من 15 فبراير."""
32,"إيلون ماسك صرّح في منشور على منصة X بتاريخ 2 فبراير 2024: ""استراتيجية بايدن هي إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"" و""تسوية أوضاعهم القانونية لخلق أغلبية دائمة."""
33,آخر مرة أزال فيها الديمقراطيون جمهورياً من الاقتراع كانت مع أبراهام لينكولن في عام 1860.
34,"""صرح دونالد ترامب في خطاب بعد تجمع آيوا في 15 يناير 2024: ""هذه هي المرة الثالثة التي نفوز فيها، لكن هذا هو أكبر فوز"" في تجمع آيوا."""
35,"صرح دونالد ترامب في تجمع في نيو هامبشاير يوم 16 ديسمبر 2023: ""إنهم يريدون جعل دبابات جيشنا كهربائية بالكامل."""
36,"دونالد ترامب صرح في منشور على منصة تروث سوشيال بتاريخ 4 ديسمبر 2023: مشروع لينكولن ""يستخدم الذكاء الاصطناعي"" في ""إعلاناته التلفزيونية""."
37,"في 7 نوفمبر 2023، كانت آلات التصويت في بنسلفانيا ""تقلب الأصوات""، وهو دليل على ""تزوير الانتخابات""."
38,"""هل قال بوتين إنه يفضل بايدن على ترامب في الانتخابات الرئاسية الأمريكية لعام 2024؟"""
39,"""صرح روي كوبر في بيان فيتو بتاريخ 24 أغسطس 2023: ""مشروع قانون الانتخابات الذي أعده الجمهوريون يتطلب إلغاء الأصوات الصحيحة ... إذا رفض الكمبيوتر توقيعًا."""
40,"صرح دونالد ترامب في منشور على منصة تروث سوشيال بتاريخ 15 أغسطس 2023: ""المدعية العامة لمقاطعة فولتون فاني ويليس ""قامت بحملة وجمعت الأموال على أساس 'سأحصل على ترامب'."""
41,"تقرير الشرطة يكشف عن ""تزوير ضخم في تصويت 2020 تم اكتشافه في ميشيغان""."
42,"""النائبة ألكساندريا أوكاسيو-كورتيز تواجه عقوبة السجن لمدة 5 سنوات بسبب جرائم لجنة الانتخابات الفيدرالية."""
43,"""أريزونا تحظر آلات التصويت الإلكترونية."""
44,"قاضٍ في أريزونا ""أُجبر على إلغاء"" انتخابات وحكم بأن ""274,000 بطاقة اقتراع يجب التخلص منها."""
45,"""صرح دونالد ترامب في منشور على منصة تروث سوشيال بتاريخ 30 أبريل 2023: ""مشروع قانون الانتخابات في فلوريدا ""يقضي على كل شيء"" ""بدلاً من أن يكون صارماً ويفعل ما يريده الناس (التصويت في نفس اليوم، هوية الناخب، إثبات الجنسية، بطاقات الاقتراع الورقية، العد اليدوي، إلخ)."""
46,"""تغريدة جو بايدن دليل على أن حادث تحطم المروحية الذي أودى بحياة ستة مليارديرات نيجيريين كان مخططًا له من قبل بايدن."""
47,"""دونالد ترامب صرح في منشور على منصة تروث سوشيال بتاريخ 2 يناير 2024: ""في الواقع، لا يوجد دليل على أن جو بايدن فاز"" في انتخابات 2020، مستشهداً بادعاءات تقرير من خمس ولايات متأرجحة."""
48,"مديرة الانتخابات في ويسكونسن ميغان وولف ""سمحت بتأثير أموال 'زوكرباكس'."""
49,"جو بايدن صرح في خطاب يوم 7 يناير 2021: ""في أكثر من 60 قضية، نظر القضاة في الادعاءات التي كان ترامب يطرحها وقرروا أنها بلا أي أساس."""
50,"""هل قال ترامب إنه سيكون 'حمام دم للبلاد' إذا لم يتم انتخابه؟ تحدث ترامب عن التعريفات التجارية مع الصين في تجمع انتخابي في دايتون، أوهايو، في 16 مارس 2024."""
51,"""ترامب أشار إلى الصحافة ووصفهم بـ 'المجرمين' في تجمع انتخابي في روما، جورجيا؟ أدلى الرئيس الأمريكي السابق دونالد ترامب بهذا التصريح خلال توقف حملته الانتخابية الرئاسية في مارس 2024."""
52,"صرح في منشور على إنستغرام بتاريخ 8 مارس 2024: ""كانت انتخابات 2020 هي المرة الوحيدة في تاريخ أمريكا التي استغرق فيها فرز الأصوات أكثر من 24 ساعة."""
53,"صرح في 7 مارس 2024 في منشور على X: ""المليارديرات ""تلاعبوا"" بانتخابات مجلس الشيوخ في كاليفورنيا بوسائل ""غير نزيهة""."""
54,صرحت في 28 فبراير 2024 في منشور على إنستغرام: فيديو يظهر كامالا هاريس تقول إن الديمقراطيين سيستخدمون أموال دافعي الضرائب لرشوة الناخبين.
55,"صرح دونالد ترامب في خطاب يوم 2 مارس 2024: ""ثمانية و ثمانون في المئة من البلاد تدرك أن (انتخابات 2020) كانت انتخابات مزورة."""
56,"إيلون ماسك صرح في منشور على منصة X بتاريخ 26 فبراير 2024: الديمقراطيون لا يرحلون المهاجرين غير الموثقين ""لأن كل مهاجر غير شرعي هو صوت محتمل في مرحلة ما."""
57,عندما كان ترامب في المنصب، كان نمو الوظائف في الولايات المتحدة الأسوأ منذ الكساد الكبير؟
58,"""هل بايدن هو أول رئيس أمريكي 'يتخطى' اختبارًا إدراكيًا؟"""
59,"""جاك بوسوبيك تحدث في مؤتمر العمل السياسي المحافظ عن رغبته في الإطاحة بالديمقراطية؟"""
60,"""هل وصف دي نيرو الرئيس السابق ترامب بأنه 'شرير' و'يدعي القوة' و'بلا أخلاق أو مبادئ'؟ في بيان أعيد نشره وقرأ في قمة نيو ريبابليك لوقف ترامب، وصف الممثل دي نيرو ترامب بأنه 'شرير' و'لا يهتم إلا بنفسه'."""
61,"""هل تتشارك لجان العمل السياسي الكبرى لدعم ترامب وRFK Jr. نفس المتبرع الرئيسي؟ اللجنتان المعنيتان هما ""اجعلوا أمريكا عظيمة مرة أخرى"" و""القيم الأمريكية""."""
62,"ترامب استفاد من شركة ""غود بليس ذا يو إس إيه بايبل"" التي تبيع الأناجيل بسعر 59.99 دولارًا؟ ""كل الأمريكيين يحتاجون إلى إنجيل في منازلهم ولدي الكثير منها. إنه كتابي المفضل. إنه كتاب مفضل لدى الكثير من الناس""، قال ترامب في فيديو."
63,"""هل غيّرت جوجل تعريف كلمة 'مجزرة' بعد أن استخدمها ترامب في خطاب؟ مستخدمو وسائل التواصل الاجتماعي اخترعوا نظرية مؤامرة لمواجهة الانتقادات لاستخدام ترامب للكلمة."""
64,"""توقفت ""الصندوق الأسود"" لسفينة دالي عن التسجيل ""قبل الاصطدام مباشرة"" بجسر بالتيمور ثم بدأ التسجيل ""بعده مباشرة""."""
65,"صرحت كريستي نويم في منشور على منصة X بتاريخ 30 مارس 2024: ""جو بايدن حظر البيض ذو الطابع الديني في مسابقة تصميم بيض عيد الفصح للأطفال في البيت الأبيض."""
66,حساب بايدن على منصة X يشارك تاريخًا غير صحيح لخطاب حالة الاتحاد؟ لقطة شاشة تظهر الحساب يشارك تاريخًا لعام 2023 لخطاب عام 2024.
67,"فيديو حقيقي لترامب وهو يردد كلمات صلاة الرب جزئيًا فقط؟ علّق أحد المستخدمين على التغريدة الفيروسية قائلاً: ""إنه ليس مسيحيًا حقيقيًا أكثر مما هو جمهوري حقيقي. ليس لديه مبادئ."""
68,"""صورة تُظهر ترافيس كيلسي يرتدي قميصًا مكتوبًا عليه ""ترامب فاز"" بشكل أصيل."""
69,أكبر متبرع للجنة العمل السياسي الكبرى التي تدعم دونالد ترامب للرئاسة في عام 2024 هو أيضًا أكبر متبرع للجنة العمل السياسي الكبرى التي تدعم روبرت ف. كينيدي الابن للرئاسة.
70,عائلات مثيري الشغب في الكابيتول تستمد الأمل من وعد ترامب بالعفو.
71,"""الزعيم الجمهوري يقوم بدفعة جديدة لدعم أوكرانيا، والمتحدث مايك جونسون لديه خطة لتغطية التكاليف - لكنه يحاول أيضًا الحفاظ على سلطته."""
72,"ترامب ينشر فيديو لشاحنة تعرض بايدن مقيدًا، وحملة بايدن تدين الفيديو متهمة دونالد ترامب بـ""التحريض المستمر على العنف السياسي""."
73,"""ترامب يزور جنازة ضابط الشرطة الذي قُتل أثناء أداء واجبه، الرئيس السابق حضر الجنازة في ظل تصاعد الجدل حول السلامة العامة والجريمة في بعض المدن الكبرى."""
74,تراجعت شبكة NBC News عن توظيف جمهورية بارزة، حيث قضت رونّا مكدانيل أربعة أيام فقط كمحللة سياسية جديدة للشبكة الأمريكية بعد مواجهة رد فعل عنيف.
75,"""وزارة العدل لن تسلم تسجيل مقابلة بايدن مع المستشار الخاص هور، مما يعرضها لخطر ازدراء الكونغرس"""
76,موقف ترامب من الإجهاض يثير ردود فعل من أحد أكبر مؤيديه
77,بنس ينتقد إعلان ترامب الذي وصفه بأنه 'صفعة على الوجه' بشأن قضية رئيسية للناخبين المسيحيين، حيث ادعى بنس، المدافع عن القيم الاجتماعية المحافظة، أن إعلان ترامب بشأن الإجهاض كان 'تراجعًا عن حق الحياة'.
78,"""أصبحت ولاية ويسكونسن الولاية الثامنة والعشرين التي تمرر حظرًا على 'زوكربكس' قبل انتخابات 2024، ويسكونسن الآن هي الولاية الثامنة والعشرون التي تحظر فعليًا 'زوكربكس'"""
79,"""الاتحاد الأمريكي للحريات المدنية يهدد بمقاضاة جورجيا بسبب مشروع قانون الانتخابات الذي يصفه المحافظون بأنه إصلاح 'منطقي'، مشروع قانون الانتخابات في جورجيا قد يعزز المرشحين المستقلين مثل RFK Jr ويسهل عمليات تدقيق قوائم الناخبين"""
80,"""أبرز مرشح لمنصب نائب الرئيس لدى ترامب يخطط لحفل زفاف صيفي بعد أسابيع من مؤتمر الحزب الجمهوري، حيث من المقرر أن يقام حفل زفاف سكوت وخطيبته ميندي نوسي بعد فترة وجيزة من المؤتمر الوطني للحزب الجمهوري"""
81,"""مجموعة 'نو ليبلز' تتواصل مع مرشح رئاسي سابق من الحزب الجمهوري بشأن تذكرتهم المحتملة للحزب الثالث، ويقول كريستي في مقابلة بودكاست: 'لن أستبعد أي شيء في هذه المرحلة' فيما يتعلق بإمكانية الترشح للرئاسة عن طريق حزب ثالث"""
82,"""ترامب يكتسح الانتخابات التمهيدية للحزب الجمهوري في 19 مارس، ومواجهة بايدن-ترامب في نوفمبر هي أول إعادة انتخاب رئاسية منذ عام 1956"""
83,"""الإشادات بتأييدات ترامب تُعتبر 'الأقوى في التاريخ السياسي الحديث' بعد الانتصارات في أوهايو، إلينوي، وكاليفورنيا. الرئيس السابق ترامب يساعد في تعزيز فوز بيرني مورينو في الانتخابات التمهيدية للحزب الجمهوري في أوهايو، التي شهدت مواجهة بين الجمهوريين المؤيدين لترامب والمحافظين التقليديين."""
84,"ترامب يقول إن الأمريكيين اليهود الذين يصوتون لبايدن لا يحبون إسرائيل و""يجب التحدث إليهم"""
85,إليزابيث وارن تشير إلى أن أفعال إسرائيل في غزة يمكن أن تُعتبر إبادة جماعية من قبل المحاكم الدولية
86,"""وزارة العدل الأمريكية تقول إن مكتب التحقيقات الفيدرالي يعتقل رجلاً يُزعم أنه بايع داعش وخطط لهجمات على كنائس في أيداهو"""
87,المستشار الخاص جاك سميث يحث المحكمة العليا على رفض ادعاء ترامب بالحصانة
88,"""وزير الخارجية البريطاني ديفيد كاميرون يلتقي بترامب قبل زيارته لواشنطن العاصمة، الثلاثاء 9 أبريل 2024"""
89,القاضي يرفض طلب ترامب بتأجيل المحاكمة والنظر في تغيير مكان القضية المتعلقة بأموال الصمت.
90,"""بايرون دونالدز، المرشح المحتمل لمنصب نائب الرئيس، هاجم ترامب في السابق وأشاد بالاستعانة بمصادر خارجية وخصخصة الاستحقاقات"""
91,"""مرشح الحزب الجمهوري لإدارة المدارس العامة في كارولاينا الشمالية دعا إلى العنف ضد الديمقراطيين، بما في ذلك إعدام أوباما وبايدن"""
92,"جو بايدن وعد بـ ""استيعاب"" مليوني طالب لجوء ""في لمح البصر"" في عام 2019 - وهو الآن يواجه أزمة هجرة."
93,"""المرشح الأوفر حظاً لرئاسة اللجنة الوطنية الجمهورية كرر أكاذيب ترامب بشأن انتخابات 2020"""
94,"""مرشح مجلس الشيوخ الجمهوري في أوهايو الذي أيده ترامب حذف تغريدات تنتقد الرئيس السابق"""
95,"""ترامب يدافع عن مؤثر سابق مدان بالتدخل في الانتخابات وله ماضٍ عنصري ومعادٍ للسامية"""
96,إعلان حملة بايدن يلوم ترامب على اقتراب وفاة امرأة حُرمت من الإجهاض، الإعلان يجسد استراتيجية حملة الرئيس للاستفادة من الغضب بشأن قرار المحكمة العليا في عام 2022 بإلغاء قضية رو ضد ويد.
97,بايدن وديمقراطيون آخرون يربطون ترامب بالقيود على حقوق الإجهاض، الرئيس السابق قال إنه يدعم ترك قرارات الإجهاض للولايات، لكن الخصوم السياسيين يقولون إنه يتحمل المسؤولية عن أي قيود تم فرضها.
98,حلفاء ترامب لديهم خطة لإضعاف فرص بايدن: تعزيز المرشحين الخارجيين. يقول المؤيدون إن زيادة عدد المرشحين في السباق تصب في مصلحة دونالد ج. ترامب. وفي انتخابات رئاسية متقاربة، يمكن لنسبة صغيرة من الناخبين تغيير النتيجة.
99,"""بايدن يروج للإنفاق المقترح على 'اقتصاد الرعاية'، الرئيس بايدن يعلن عن خطة جديدة لتخفيف قروض الطلاب الفيدرالية خلال زيارة إلى ماديسون، ويسكونسن، يوم الاثنين. (كيفن لامارك/رويترز)"""
100,"""بايدن وترامب يشتركان في الإيمان بالتعريفات الجمركية على الواردات، رغم مخاطر التضخم، تركز خطط التجارة لكلا المرشحين على التعريفات الجمركية على السلع الصينية المستوردة حتى مع تحذير الاقتصاديين من أنها قد تؤدي إلى ارتفاع الأسعار."""
101,"""بايدن، كرئيس وبطريرك، يواجه محاكمة ابنه، تبدأ محاكمة هانتر بايدن يوم الاثنين بتهم الكذب في استمارة رسمية عندما اشترى سلاحًا في عام 2018."""
102,إليك ما يجب معرفته عن محاكمة هانتر بايدن التي تبدأ يوم الاثنين، حيث يُتهم هانتر، نجل الرئيس بايدن، في محكمة فدرالية في ديلاوير بتقديم بيانات كاذبة أثناء شراء سلاح وحيازة هذا السلاح بشكل غير قانوني.
103,"""ترامب يدعي زوراً أنه لم يطالب أبداً بسجن هيلاري كلينتون، و""اسجنوها"" ربما يكون أحد أكثر الهتافات شعبية بين مؤيدي ترامب، وقد وافق عليه أو دعا صراحة لسجنها في عدة مناسبات."""
104,٤ نقاط رئيسية من تداعيات حكم إدانة ترامب: البلاد دخلت مرحلة مضطربة. الأمور تزداد سوءًا بالفعل، ولا يبدو أن ذلك سيتوقف.
105,"""ترامب وحلفاؤه يكثفون الإيحاءات بمحاكمة مزورة - بأدلة ضعيفة، وليس فقط الادعاء الكاذب بأن هيئة المحلفين لا تحتاج إلى الإجماع بشأن جرائمه."""
106,"في عام 2016، سخر ترامب من تقديم الامتيازات للمتبرعين. اليوم، يريد عقد ""صفقة"". الرئيس السابق سخر من ""الامتيازات"" التي كان السياسيون يقدمونها مقابل الأموال الانتخابية في ذلك الوقت، لكنه اليوم يساوم بامتيازاته الخاصة."
107,"""لماذا كانت إشارة محامي ترامب إلى السجن 'فاضحة' للغاية، حيث قام محامي ترامب تود بلانش في مرافعته الختامية بإشارة واضحة إلى هيئة المحلفين بإرسال ترامب إلى السجن. ليس فقط أن مثل هذه الأمور غير مسموح بها، بل تم إبلاغ بلانش بشكل صريح بعدم قول ذلك."""
